날짜,시군구지역코드,발생건수(건)
2023-10-01,48740,54
2023-10-01,48820,81
2023-10-01,48840,28
2023-10-01,48850,56
2023-10-01,48860,28
2023-10-01,48870,81
2023-10-01,48880,63
2023-10-01,48890,50
2023-10-01,49110,1310
2023-10-01,49130,390
2023-10-02,11110,701
2023-10-02,11140,663
2023-10-02,11170,1045
2023-10-02,11200,1988
2023-10-02,11215,2368
2023-10-02,11230,2233
2023-10-02,11260,3365
2023-10-02,11290,3046
2023-10-02,11305,2081
2023-10-02,11320,2513
2023-10-02,11350,3967
2023-10-02,11380,3930
2023-10-02,11410,2125
2023-10-02,11440,2169
2023-10-02,11470,3628
2023-10-02,11500,4720
2023-10-02,11530,3653
2023-10-02,11545,1563
2023-10-02,11560,2721
2023-10-02,11590,2632
2023-10-02,11620,3173
2023-10-02,11650,2936
2023-10-02,11680,4197
2023-10-02,11710,6067
2023-10-02,11740,3883
2023-10-02,26110,220
2023-10-02,26140,726
2023-10-02,26170,678
2023-10-02,26200,765
2023-10-02,26230,3522
2023-10-02,26260,2479
2023-10-02,26290,1939
2023-10-02,26320,2126
2023-10-02,26350,3566
2023-10-02,26380,3105
2023-10-02,26410,2058
2023-10-02,26440,2340
2023-10-02,26470,1920
2023-10-02,26500,1358
2023-10-02,26530,1655
2023-10-02,26710,2240
2023-10-02,27110,862
2023-10-02,27140,3482
2023-10-02,27170,1177
2023-10-02,27200,1025
2023-10-02,27230,4330
2023-10-02,27260,3785
2023-10-02,27290,5067
2023-10-02,27710,3975
2023-10-02,28110,1512
2023-10-02,28140,555
2023-10-02,28170,1
2023-10-02,28185,4303
2023-10-02,28200,4858
2023-10-02,28237,4518
2023-10-02,28245,2204
2023-10-02,28260,7362
2023-10-02,28710,333
2023-10-02,28720,74
2023-10-02,29110,1190
2023-10-02,29140,2444
2023-10-02,29155,2028
2023-10-02,29170,4536
2023-10-02,29200,4242
2023-10-02,30110,2439
2023-10-02,30140,1900
2023-10-02,30170,5044
2023-10-02,30200,4092
2023-10-02,30230,1641
2023-10-02,31110,1803
2023-10-02,31140,2993
2023-10-02,31170,1561
2023-10-02,31200,2692
2023-10-02,31710,2411
2023-10-02,36110,4944
2023-10-02,41111,2869
2023-10-02,41113,4084
2023-10-02,41115,1827
2023-10-02,41117,3543
2023-10-02,41131,2226
2023-10-02,41133,1996
2023-10-02,41135,3890
2023-10-02,41150,4162
2023-10-02,41171,1795
2023-10-02,41173,3098
2023-10-02,41190,7474
2023-10-02,41210,3201
2023-10-02,41220,6431
2023-10-02,41250,698
2023-10-02,41271,2972
2023-10-02,41273,3604
2023-10-02,41281,5235
2023-10-02,41285,2328
2023-10-02,41287,2701
2023-10-02,41290,819
2023-10-02,41310,1971
2023-10-02,41360,6182
2023-10-02,41370,2210
2023-10-02,41390,6741
2023-10-02,41410,2965
2023-10-02,41430,1252
2023-10-02,41450,3798
2023-10-02,41461,2325
2023-10-02,41463,3269
2023-10-02,41465,3386
2023-10-02,41480,4611
2023-10-02,41500,1771
2023-10-02,41550,1970
2023-10-02,41570,5519
2023-10-02,41590,11406
2023-10-02,41610,3248
2023-10-02,41630,2270
2023-10-02,41650,995
2023-10-02,41670,828
2023-10-02,41800,246
2023-10-02,41820,340
2023-10-02,41830,585
2023-10-02,42110,1
2023-10-02,42130,0
2023-10-02,42150,0
2023-10-02,42190,0
2023-10-02,42730,1
2023-10-02,43111,1611
2023-10-02,43112,1386
2023-10-02,43113,2813
2023-10-02,43114,2077
2023-10-02,43130,1360
2023-10-02,43150,863
2023-10-02,43720,198
2023-10-02,43730,655
2023-10-02,43740,228
2023-10-02,43745,431
2023-10-02,43750,1166
2023-10-02,43760,181
2023-10-02,43770,932
2023-10-02,43800,110
2023-10-02,44131,2299
2023-10-02,44133,4599
2023-10-02,44150,571
2023-10-02,44180,919
2023-10-02,44200,4301
2023-10-02,44210,1630
2023-10-02,44230,1031
2023-10-02,44250,419
2023-10-02,44270,1251
2023-10-02,44710,327
2023-10-02,44760,394
2023-10-02,44770,371
2023-10-02,44790,174
2023-10-02,44800,809
2023-10-02,44810,451
2023-10-02,44825,333
2023-10-02,45111,2464
2023-10-02,45113,3120
2023-10-02,45130,2403
2023-10-02,45140,2606
2023-10-02,45180,972
2023-10-02,45190,407
2023-10-02,45210,746
2023-10-02,45710,837
2023-10-02,45720,116
2023-10-02,45730,107
2023-10-02,45740,75
2023-10-02,45750,183
2023-10-02,45770,153
2023-10-02,45790,261
2023-10-02,45800,307
2023-10-02,46110,2117
2023-10-02,46130,2486
2023-10-02,46150,2766
2023-10-02,46170,834
2023-10-02,46230,1512
2023-10-02,46710,334
2023-10-02,46720,111
2023-10-02,46730,147
2023-10-02,46770,365
2023-10-02,46780,206
2023-10-02,46790,442
2023-10-02,46800,241
2023-10-02,46810,217
2023-10-02,46820,550
2023-10-02,46830,531
2023-10-02,46840,1080
2023-10-02,46860,172
2023-10-02,46870,449
2023-10-02,46880,296
2023-10-02,46890,383
2023-10-02,46900,266
2023-10-02,46910,266
2023-10-02,47111,2047
2023-10-02,47113,2164
