공원명,주소,Latitude,Longitude
어린이대공원,광진구 능동로 216,37.5495886,127.081578
월드컵공원,마포구 증산로 32,37.5632716,126.8926785
보라매공원,동작구 여의대방로 20마길 11,37.4926778,126.919139
매헌시민의숲,서초구 매헌로 99,37.4710677,127.035758
초안산근린공원,도봉구 해등로3길 48-11,37.6463347,127.0408015
