날짜,시군구지역코드,발생건수(건)
2023-10-01,48840,1
2023-10-01,48850,3
2023-10-01,48860,0
2023-10-01,48870,4
2023-10-01,48880,1
2023-10-01,48890,2
2023-10-01,49110,18
2023-10-01,49130,15
2023-10-02,11110,67
2023-10-02,11140,63
2023-10-02,11170,180
2023-10-02,11200,110
2023-10-02,11215,166
2023-10-02,11230,204
2023-10-02,11260,285
2023-10-02,11290,242
2023-10-02,11305,203
2023-10-02,11320,187
2023-10-02,11350,429
2023-10-02,11380,333
2023-10-02,11410,249
2023-10-02,11440,189
2023-10-02,11470,221
2023-10-02,11500,390
2023-10-02,11530,238
2023-10-02,11545,100
2023-10-02,11560,207
2023-10-02,11590,221
2023-10-02,11620,307
2023-10-02,11650,194
2023-10-02,11680,290
2023-10-02,11710,386
2023-10-02,11740,274
2023-10-02,26110,18
2023-10-02,26140,73
2023-10-02,26170,74
2023-10-02,26200,85
2023-10-02,26230,280
2023-10-02,26260,226
2023-10-02,26290,210
2023-10-02,26320,297
2023-10-02,26350,356
2023-10-02,26380,287
2023-10-02,26410,251
2023-10-02,26440,82
2023-10-02,26470,201
2023-10-02,26500,169
2023-10-02,26530,179
2023-10-02,26710,64
2023-10-02,27110,51
2023-10-02,27140,319
2023-10-02,27170,158
2023-10-02,27200,106
2023-10-02,27230,558
2023-10-02,27260,409
2023-10-02,27290,460
2023-10-02,27710,175
2023-10-02,28110,73
2023-10-02,28140,31
2023-10-02,28170,0
2023-10-02,28185,341
2023-10-02,28200,368
2023-10-02,28237,399
2023-10-02,28245,291
2023-10-02,28260,410
2023-10-02,28710,31
2023-10-02,28720,8
2023-10-02,29110,96
2023-10-02,29140,124
2023-10-02,29155,136
2023-10-02,29170,357
2023-10-02,29200,264
2023-10-02,30110,209
2023-10-02,30140,214
2023-10-02,30170,414
2023-10-02,30200,283
2023-10-02,30230,107
2023-10-02,31110,129
2023-10-02,31140,266
2023-10-02,31170,202
2023-10-02,31200,159
2023-10-02,31710,185
2023-10-02,36110,338
2023-10-02,41111,201
2023-10-02,41113,294
2023-10-02,41115,114
2023-10-02,41117,205
2023-10-02,41131,150
2023-10-02,41133,161
2023-10-02,41135,283
2023-10-02,41150,215
2023-10-02,41171,101
2023-10-02,41173,145
2023-10-02,41190,654
2023-10-02,41210,129
2023-10-02,41220,519
2023-10-02,41250,45
2023-10-02,41271,210
2023-10-02,41273,265
2023-10-02,41281,285
2023-10-02,41285,187
2023-10-02,41287,137
2023-10-02,41290,20
2023-10-02,41310,195
2023-10-02,41360,541
2023-10-02,41370,200
2023-10-02,41390,455
2023-10-02,41410,154
2023-10-02,41430,83
2023-10-02,41450,239
2023-10-02,41461,182
2023-10-02,41463,241
2023-10-02,41465,246
2023-10-02,41480,433
2023-10-02,41500,85
2023-10-02,41550,193
2023-10-02,41570,377
2023-10-02,41590,666
2023-10-02,41610,252
2023-10-02,41630,94
2023-10-02,41650,84
2023-10-02,41670,49
2023-10-02,41800,21
2023-10-02,41820,51
2023-10-02,41830,111
2023-10-02,42110,0
2023-10-02,42130,0
2023-10-02,42150,0
2023-10-02,42190,0
2023-10-02,42730,0
2023-10-02,43111,86
2023-10-02,43112,111
2023-10-02,43113,211
2023-10-02,43114,147
2023-10-02,43130,212
2023-10-02,43150,73
2023-10-02,43720,20
2023-10-02,43730,64
2023-10-02,43740,44
2023-10-02,43745,19
2023-10-02,43750,147
2023-10-02,43760,25
2023-10-02,43770,130
2023-10-02,43800,10
2023-10-02,44131,163
2023-10-02,44133,249
2023-10-02,44150,79
2023-10-02,44180,179
2023-10-02,44200,318
2023-10-02,44210,145
2023-10-02,44230,92
2023-10-02,44250,20
2023-10-02,44270,84
2023-10-02,44710,54
2023-10-02,44760,84
2023-10-02,44770,81
2023-10-02,44790,31
2023-10-02,44800,49
2023-10-02,44810,40
2023-10-02,44825,47
2023-10-02,45111,174
2023-10-02,45113,245
2023-10-02,45130,207
2023-10-02,45140,178
2023-10-02,45180,97
2023-10-02,45190,134
2023-10-02,45210,34
2023-10-02,45710,82
2023-10-02,45720,23
2023-10-02,45730,22
2023-10-02,45740,18
2023-10-02,45750,25
2023-10-02,45770,40
2023-10-02,45790,28
2023-10-02,45800,30
2023-10-02,46110,105
2023-10-02,46130,380
2023-10-02,46150,213
2023-10-02,46170,65
2023-10-02,46230,120
2023-10-02,46710,57
2023-10-02,46720,23
2023-10-02,46730,24
2023-10-02,46770,30
2023-10-02,46780,50
2023-10-02,46790,45
2023-10-02,46800,16
2023-10-02,46810,15
2023-10-02,46820,61
2023-10-02,46830,56
2023-10-02,46840,60
2023-10-02,46860,18
2023-10-02,46870,50
2023-10-02,46880,20
2023-10-02,46890,18
2023-10-02,46900,27
2023-10-02,46910,30
2023-10-02,47111,251
2023-10-02,47113,203
2023-10-02,47130,192
2023-10-02,47150,83
2023-10-02,47170,93
2023-10-02,47190,397
2023-10-02,47210,21
2023-10-02,47230,109
2023-10-02,47250,84
2023-10-02,47280,76
2023-10-02,47290,197
2023-10-02,47730,58
2023-10-02,47750,20
2023-10-02,47760,18
2023-10-02,47770,22
2023-10-02,47820,32
2023-10-02,47830,30
2023-10-02,47840,41
2023-10-02,47850,98
2023-10-02,47900,32
2023-10-02,47920,19
2023-10-02,47930,38
2023-10-02,47940,3
2023-10-02,48121,290
2023-10-02,48123,257
2023-10-02,48125,195
2023-10-02,48127,118
2023-10-02,48129,186
2023-10-02,48170,376
2023-10-02,48220,141
2023-10-02,48240,144
2023-10-02,48250,577
2023-10-02,48270,102
2023-10-02,48310,203
2023-10-02,48330,309
2023-10-02,48720,44
2023-10-02,48730,41
2023-10-02,48740,58
2023-10-02,48820,78
2023-10-02,48840,21
2023-10-02,48850,33
2023-10-02,48860,34
2023-10-02,48870,55
2023-10-02,48880,124
2023-10-02,48890,62
2023-10-02,49110,212
2023-10-02,49130,139
2023-10-03,11110,11
2023-10-03,11140,15
2023-10-03,11170,20
2023-10-03,11200,29
2023-10-03,11215,23
2023-10-03,11230,43
2023-10-03,11260,53
2023-10-03,11290,69
2023-10-03,11305,27
2023-10-03,11320,49
2023-10-03,11350,96
2023-10-03,11380,39
2023-10-03,11410,24
2023-10-03,11440,39
2023-10-03,11470,24
2023-10-03,11500,54
2023-10-03,11530,45
2023-10-03,11545,9
2023-10-03,11560,51
2023-10-03,11590,32
2023-10-03,11620,27
2023-10-03,11650,44
2023-10-03,11680,56
2023-10-03,11710,58
2023-10-03,11740,36
2023-10-03,26110,3
2023-10-03,26140,12
2023-10-03,26170,15
2023-10-03,26200,11
2023-10-03,26230,51
2023-10-03,26260,25
2023-10-03,26290,24
2023-10-03,26320,47
2023-10-03,26350,81
2023-10-03,26380,23
2023-10-03,26410,26
2023-10-03,26440,17
2023-10-03,26470,24
2023-10-03,26500,14
2023-10-03,26530,30
2023-10-03,26710,19
2023-10-03,27110,7
2023-10-03,27140,55
2023-10-03,27170,13
2023-10-03,27200,12
2023-10-03,27230,52
2023-10-03,27260,64
2023-10-03,27290,55
2023-10-03,27710,27
2023-10-03,28110,10
2023-10-03,28140,2
2023-10-03,28185,78
2023-10-03,28200,47
2023-10-03,28237,41
2023-10-03,28245,18
2023-10-03,28260,55
2023-10-03,28710,9
2023-10-03,28720,0
2023-10-03,29110,7
2023-10-03,29140,6
2023-10-03,29155,18
2023-10-03,29170,22
2023-10-03,29200,17
2023-10-03,30110,32
2023-10-03,30140,36
2023-10-03,30170,100
2023-10-03,30200,80
2023-10-03,30230,40
2023-10-03,31110,27
2023-10-03,31140,23
2023-10-03,31170,26
2023-10-03,31200,40
2023-10-03,31710,28
2023-10-03,36110,120
2023-10-03,41111,37
2023-10-03,41113,45
2023-10-03,41115,30
2023-10-03,41117,63
2023-10-03,41131,16
2023-10-03,41133,23
2023-10-03,41135,54
2023-10-03,41150,50
2023-10-03,41171,14
2023-10-03,41173,29
2023-10-03,41190,99
2023-10-03,41210,17
2023-10-03,41220,146
2023-10-03,41250,8
2023-10-03,41271,33
2023-10-03,41273,37
2023-10-03,41281,33
2023-10-03,41285,33
2023-10-03,41287,30
2023-10-03,41290,7
2023-10-03,41310,33
2023-10-03,41360,102
2023-10-03,41370,46
2023-10-03,41390,61
2023-10-03,41410,25
2023-10-03,41430,14
2023-10-03,41450,33
2023-10-03,41461,17
2023-10-03,41463,48
2023-10-03,41465,87
2023-10-03,41480,82
2023-10-03,41500,17
2023-10-03,41550,21
2023-10-03,41570,99
2023-10-03,41590,177
2023-10-03,41610,35
2023-10-03,41630,16
2023-10-03,41650,16
2023-10-03,41670,6
2023-10-03,41800,0
2023-10-03,41820,10
2023-10-03,41830,7
2023-10-03,42110,0
2023-10-03,42750,0
2023-10-03,43111,18
2023-10-03,43112,14
2023-10-03,43113,48
2023-10-03,43114,60
2023-10-03,43130,35
2023-10-03,43150,12
2023-10-03,43720,1
2023-10-03,43730,13
2023-10-03,43740,6
2023-10-03,43745,2
2023-10-03,43750,28
2023-10-03,43760,9
2023-10-03,43770,14
2023-10-03,43800,5
2023-10-03,44131,69
2023-10-03,44133,110
2023-10-03,44150,3
2023-10-03,44180,0
2023-10-03,44200,51
2023-10-03,44210,20
2023-10-03,44230,9
2023-10-03,44250,6
2023-10-03,44270,7
2023-10-03,44710,28
2023-10-03,44760,12
2023-10-03,44770,13
2023-10-03,44790,10
2023-10-03,44800,13
2023-10-03,44810,7
2023-10-03,44825,6
2023-10-03,45111,20
2023-10-03,45113,20
2023-10-03,45130,27
2023-10-03,45140,28
2023-10-03,45180,16
2023-10-03,45190,8
2023-10-03,45210,16
2023-10-03,45710,7
2023-10-03,45720,1
2023-10-03,45730,7
2023-10-03,45740,1
2023-10-03,45750,5
2023-10-03,45770,3
2023-10-03,45790,3
2023-10-03,45800,3
2023-10-03,46110,6
2023-10-03,46130,52
2023-10-03,46150,33
2023-10-03,46170,4
2023-10-03,46230,9
2023-10-03,46710,9
2023-10-03,46720,4
2023-10-03,46730,3
2023-10-03,46770,5
2023-10-03,46780,7
2023-10-03,46790,5
2023-10-03,46800,9
2023-10-03,46810,0
2023-10-03,46820,31
2023-10-03,46830,4
2023-10-03,46840,9
2023-10-03,46860,4
2023-10-03,46870,4
2023-10-03,46880,6
2023-10-03,46890,3
2023-10-03,46900,5
2023-10-03,46910,8
2023-10-03,47111,30
2023-10-03,47113,43
2023-10-03,47130,18
2023-10-03,47150,12
2023-10-03,47170,14
2023-10-03,47190,36
2023-10-03,47210,18
2023-10-03,47230,25
2023-10-03,47250,0
2023-10-03,47280,6
2023-10-03,47290,36
2023-10-03,47730,9
2023-10-03,47750,1
2023-10-03,47760,7
2023-10-03,47770,6
2023-10-03,47820,4
2023-10-03,47830,3
2023-10-03,47840,3
2023-10-03,47850,10
2023-10-03,47900,6
2023-10-03,47920,1
2023-10-03,47930,9
2023-10-03,47940,0
2023-10-03,48121,13
2023-10-03,48123,19
2023-10-03,48125,6
2023-10-03,48127,17
2023-10-03,48129,15
2023-10-03,48170,81
2023-10-03,48220,20
2023-10-03,48240,27
2023-10-03,48250,102
2023-10-03,48270,6
2023-10-03,48310,68
2023-10-03,48330,82
2023-10-03,48720,20
2023-10-03,48730,7
2023-10-03,48740,10
2023-10-03,48820,14
2023-10-03,48840,3
2023-10-03,48850,9
2023-10-03,48860,2
2023-10-03,48870,16
2023-10-03,48880,6
2023-10-03,48890,16
2023-10-03,49110,72
2023-10-03,49130,45
2023-10-04,11110,226
2023-10-04,11140,193
2023-10-04,11170,353
2023-10-04,11200,622
2023-10-04,11215,655
2023-10-04,11230,637
2023-10-04,11260,690
2023-10-04,11290,731
2023-10-04,11305,480
2023-10-04,11320,420
2023-10-04,11350,876
2023-10-04,11380,957
2023-10-04,11410,502
2023-10-04,11440,546
2023-10-04,11470,776
2023-10-04,11500,934
2023-10-04,11530,715
2023-10-04,11545,476
2023-10-04,11560,635
2023-10-04,11590,798
2023-10-04,11620,918
2023-10-04,11650,609
2023-10-04,11680,896
2023-10-04,11710,1084
2023-10-04,11740,757
2023-10-04,26110,97
2023-10-04,26140,241
2023-10-04,26170,191
2023-10-04,26200,261
2023-10-04,26230,741
2023-10-04,26260,568
2023-10-04,26290,645
2023-10-04,26320,563
2023-10-04,26350,913
2023-10-04,26380,542
2023-10-04,26410,450
2023-10-04,26440,282
2023-10-04,26470,522
2023-10-04,26500,415
