날짜,시도지역코드,발생건수(건)
2023-10-06,27,1028
2023-10-06,28,1394
2023-10-06,29,772
2023-10-06,30,641
2023-10-06,31,468
2023-10-06,41,5713
2023-10-06,42,0
2023-10-06,43,790
2023-10-06,44,1434
2023-10-06,45,1088
2023-10-06,46,1146
2023-10-06,47,1148
2023-10-06,48,1530
2023-10-06,49,327
2023-10-06,99,23603
2023-10-07,11,2713
2023-10-07,26,955
2023-10-07,27,697
2023-10-07,28,971
2023-10-07,29,572
2023-10-07,30,441
2023-10-07,31,316
2023-10-07,41,4117
2023-10-07,42,0
2023-10-07,43,549
2023-10-07,44,1040
2023-10-07,45,577
2023-10-07,46,754
2023-10-07,47,799
2023-10-07,48,1082
2023-10-07,49,192
2023-10-07,99,16094
2023-10-08,11,296
2023-10-08,26,56
2023-10-08,27,70
2023-10-08,28,244
2023-10-08,29,31
2023-10-08,30,70
2023-10-08,31,19
2023-10-08,41,740
2023-10-08,43,58
2023-10-08,44,229
2023-10-08,45,75
2023-10-08,46,93
2023-10-08,47,78
2023-10-08,48,139
2023-10-08,49,20
2023-10-08,99,2254
2023-10-09,11,431
2023-10-09,26,269
2023-10-09,27,213
2023-10-09,28,396
2023-10-09,29,109
2023-10-09,30,179
2023-10-09,31,94
2023-10-09,41,1197
2023-10-09,42,0
2023-10-09,43,154
2023-10-09,44,421
2023-10-09,45,174
2023-10-09,46,261
2023-10-09,47,244
2023-10-09,48,369
2023-10-09,49,27
2023-10-09,99,4633
2023-10-10,11,4655
2023-10-10,26,1828
2023-10-10,27,1199
2023-10-10,28,1604
2023-10-10,29,934
2023-10-10,30,794
2023-10-10,31,570
2023-10-10,41,6556
2023-10-10,42,0
2023-10-10,43,992
2023-10-10,44,1743
2023-10-10,45,1381
2023-10-10,46,1390
2023-10-10,47,1484
2023-10-10,48,1813
2023-10-10,49,417
2023-10-10,99,28145
2023-10-11,11,3516
2023-10-11,26,1395
2023-10-11,27,855
2023-10-11,28,1241
2023-10-11,29,572
2023-10-11,30,592
2023-10-11,31,369
2023-10-11,41,5043
2023-10-11,42,0
2023-10-11,43,650
2023-10-11,44,1109
2023-10-11,45,945
2023-10-11,46,946
2023-10-11,47,1041
2023-10-11,48,1330
2023-10-11,49,226
2023-10-11,99,20383
2023-10-12,11,3279
2023-10-12,26,1297
2023-10-12,27,811
2023-10-12,28,1157
2023-10-12,29,605
2023-10-12,30,511
2023-10-12,31,395
2023-10-12,41,4590
2023-10-12,42,0
2023-10-12,43,651
2023-10-12,44,1227
2023-10-12,45,877
2023-10-12,46,960
2023-10-12,47,1084
2023-10-12,48,1233
2023-10-12,49,256
2023-10-12,99,19471
2023-10-13,11,3614
2023-10-13,26,1379
2023-10-13,27,901
2023-10-13,28,1240
2023-10-13,29,709
2023-10-13,30,595
2023-10-13,31,438
2023-10-13,41,5348
2023-10-13,42,0
2023-10-13,43,762
2023-10-13,44,1288
2023-10-13,45,999
2023-10-13,46,944
2023-10-13,47,1085
2023-10-13,48,1422
2023-10-13,49,339
2023-10-13,99,21696
2023-10-14,11,2382
2023-10-14,26,795
2023-10-14,27,625
2023-10-14,28,842
2023-10-14,29,500
2023-10-14,30,429
2023-10-14,31,294
2023-10-14,41,3696
2023-10-14,42,0
2023-10-14,43,480
2023-10-14,44,963
2023-10-14,45,554
2023-10-14,46,629
2023-10-14,47,648
2023-10-14,48,968
2023-10-14,49,193
2023-10-14,99,14302
2023-10-15,11,257
2023-10-15,26,130
2023-10-15,27,94
2023-10-15,28,310
2023-10-15,29,70
2023-10-15,30,119
2023-10-15,31,14
2023-10-15,41,848
2023-10-15,42,0
2023-10-15,43,75
2023-10-15,44,265
2023-10-15,45,94
2023-10-15,46,117
2023-10-15,47,99
2023-10-15,48,140
2023-10-15,49,17
2023-10-15,99,2695
2023-10-16,11,4810
2023-10-16,26,1801
2023-10-16,27,1200
2023-10-16,28,1678
2023-10-16,29,860
2023-10-16,30,795
2023-10-16,31,588
2023-10-16,41,6675
2023-10-16,42,0
2023-10-16,43,948
2023-10-16,44,1613
2023-10-16,45,1260
2023-10-16,46,1234
2023-10-16,47,1514
2023-10-16,48,1798
2023-10-16,49,400
2023-10-16,99,28019
2023-10-17,11,3517
2023-10-17,26,1386
2023-10-17,27,898
2023-10-17,28,1306
2023-10-17,29,670
2023-10-17,30,596
2023-10-17,31,432
2023-10-17,41,5302
2023-10-17,42,0
2023-10-17,43,747
2023-10-17,44,1327
2023-10-17,45,981
2023-10-17,46,986
2023-10-17,47,1153
2023-10-17,48,1424
2023-10-17,49,318
2023-10-17,99,21707
2023-10-18,11,3413
2023-10-18,26,1211
2023-10-18,27,893
2023-10-18,28,1261
2023-10-18,29,578
2023-10-18,30,554
2023-10-18,31,374
2023-10-18,41,4684
2023-10-18,42,0
2023-10-18,43,564
2023-10-18,44,1105
2023-10-18,45,840
2023-10-18,46,842
2023-10-18,47,996
2023-10-18,48,1203
2023-10-18,49,204
2023-10-18,99,19237
2023-10-19,11,3412
2023-10-19,26,1328
2023-10-19,27,884
2023-10-19,28,1196
2023-10-19,29,688
2023-10-19,30,594
2023-10-19,31,410
2023-10-19,41,4829
2023-10-19,42,0
2023-10-19,43,771
2023-10-19,44,1250
2023-10-19,45,930
2023-10-19,46,977
2023-10-19,47,1104
2023-10-19,48,1347
2023-10-19,49,282
2023-10-19,99,20549
2023-10-20,11,3918
2023-10-20,26,1432
2023-10-20,27,1058
2023-10-20,28,1387
2023-10-20,29,778
2023-10-20,30,629
2023-10-20,31,494
2023-10-20,41,5790
2023-10-20,42,0
2023-10-20,43,854
2023-10-20,44,1417
2023-10-20,45,1026
2023-10-20,46,1067
2023-10-20,47,1177
2023-10-20,48,1523
2023-10-20,49,342
2023-10-20,99,23541
2023-10-21,11,2590
2023-10-21,26,896
2023-10-21,27,767
2023-10-21,28,1055
2023-10-21,29,600
2023-10-21,30,459
2023-10-21,31,329
2023-10-21,41,4191
2023-10-21,42,0
2023-10-21,43,556
2023-10-21,44,1153
2023-10-21,45,582
2023-10-21,46,686
2023-10-21,47,726
2023-10-21,48,1130
2023-10-21,49,195
2023-10-21,99,16237
2023-10-22,11,292
2023-10-22,26,66
2023-10-22,27,86
2023-10-22,28,259
2023-10-22,29,57
2023-10-22,30,108
2023-10-22,31,18
2023-10-22,41,980
2023-10-22,43,98
2023-10-22,44,250
2023-10-22,45,105
2023-10-22,46,119
2023-10-22,47,93
2023-10-22,48,202
2023-10-22,49,24
2023-10-22,99,2805
2023-10-23,11,5156
2023-10-23,26,1822
2023-10-23,27,1297
2023-10-23,28,1788
2023-10-23,29,1030
2023-10-23,30,807
2023-10-23,31,620
2023-10-23,41,7498
2023-10-23,42,1
2023-10-23,43,1036
2023-10-23,44,1876
2023-10-23,45,1367
2023-10-23,46,1386
2023-10-23,47,1538
2023-10-23,48,2056
2023-10-23,49,452
2023-10-23,99,30540
2023-10-24,11,3967
2023-10-24,26,1425
2023-10-24,27,1018
2023-10-24,28,1366
2023-10-24,29,744
2023-10-24,30,667
2023-10-24,31,475
2023-10-24,41,5510
2023-10-24,42,0
2023-10-24,43,823
2023-10-24,44,1400
2023-10-24,45,1007
2023-10-24,46,1050
2023-10-24,47,1222
2023-10-24,48,1431
2023-10-24,49,309
2023-10-24,99,23117
2023-10-25,11,3656
2023-10-25,26,1345
2023-10-25,27,962
2023-10-25,28,1263
2023-10-25,29,607
2023-10-25,30,571
2023-10-25,31,439
2023-10-25,41,5021
2023-10-25,42,0
2023-10-25,43,738
2023-10-25,44,1139
2023-10-25,45,904
2023-10-25,46,874
2023-10-25,47,1107
2023-10-25,48,1314
2023-10-25,49,205
2023-10-25,99,20685
2023-10-26,11,3702
2023-10-26,26,1355
2023-10-26,27,991
2023-10-26,28,1258
2023-10-26,29,743
2023-10-26,30,594
2023-10-26,31,466
2023-10-26,41,5434
2023-10-26,42,0
2023-10-26,43,804
2023-10-26,44,1364
2023-10-26,45,947
2023-10-26,46,991
2023-10-26,47,1181
2023-10-26,48,1358
2023-10-26,49,315
2023-10-26,99,22100
2023-10-27,11,4077
2023-10-27,26,1442
2023-10-27,27,1055
2023-10-27,28,1514
2023-10-27,29,801
2023-10-27,30,597
2023-10-27,31,491
2023-10-27,41,6008
2023-10-27,42,0
2023-10-27,43,964
2023-10-27,44,1475
2023-10-27,45,1075
2023-10-27,46,1101
2023-10-27,47,1201
2023-10-27,48,1578
2023-10-27,49,317
2023-10-27,99,24328
2023-10-28,11,2731
2023-10-28,26,923
2023-10-28,27,784
2023-10-28,28,1063
2023-10-28,29,535
2023-10-28,30,426
2023-10-28,31,297
2023-10-28,41,4265
2023-10-28,42,0
2023-10-28,43,575
2023-10-28,44,1022
2023-10-28,45,588
2023-10-28,46,756
2023-10-28,47,807
2023-10-28,48,1066
2023-10-28,49,196
2023-10-28,99,16357
2023-10-29,11,306
2023-10-29,26,118
2023-10-29,27,82
2023-10-29,28,260
2023-10-29,29,66
2023-10-29,30,127
2023-10-29,31,22
2023-10-29,41,1027
2023-10-29,43,69
2023-10-29,44,289
2023-10-29,45,100
2023-10-29,46,136
2023-10-29,47,96
2023-10-29,48,217
2023-10-29,49,25
2023-10-29,99,2986
2023-10-30,11,5246
2023-10-30,26,2022
2023-10-30,27,1380
2023-10-30,28,1801
2023-10-30,29,1089
2023-10-30,30,838
2023-10-30,31,600
2023-10-30,41,7567
2023-10-30,42,0
2023-10-30,43,1185
2023-10-30,44,1873
2023-10-30,45,1395
2023-10-30,46,1477
2023-10-30,47,1642
2023-10-30,48,2001
2023-10-30,49,436
2023-10-30,99,31389
2023-10-31,11,3853
2023-10-31,26,1418
2023-10-31,27,1028
2023-10-31,28,1347
2023-10-31,29,770
2023-10-31,30,662
2023-10-31,31,463
2023-10-31,41,5607
2023-10-31,42,0
2023-10-31,43,889
2023-10-31,44,1456
2023-10-31,45,975
2023-10-31,46,1117
2023-10-31,47,1205
2023-10-31,48,1438
2023-10-31,49,315
2023-10-31,99,23171
2023-11-01,11,3807
2023-11-01,26,1569
2023-11-01,27,1057
2023-11-01,28,1383
2023-11-01,29,696
2023-11-01,30,634
2023-11-01,31,529
2023-11-01,41,5601
2023-11-01,42,0
2023-11-01,43,771
2023-11-01,44,1342
2023-11-01,45,1076
2023-11-01,46,1103
2023-11-01,47,1207
2023-11-01,48,1537
2023-11-01,49,242
2023-11-01,99,23195
2023-11-02,11,3803
2023-11-02,26,1461
2023-11-02,27,977
2023-11-02,28,1445
2023-11-02,29,749
2023-11-02,30,600
2023-11-02,31,466
2023-11-02,41,5463
2023-11-02,42,0
2023-11-02,43,818
2023-11-02,44,1325
2023-11-02,45,991
2023-11-02,46,1032
2023-11-02,47,1156
2023-11-02,48,1504
2023-11-02,49,330
2023-11-02,99,22666
2023-11-03,11,4170
2023-11-03,26,1591
2023-11-03,27,1099
2023-11-03,28,1459
2023-11-03,29,810
2023-11-03,30,703
2023-11-03,31,545
2023-11-03,41,6123
2023-11-03,42,0
2023-11-03,43,940
2023-11-03,44,1454
2023-11-03,45,1065
2023-11-03,46,1122
2023-11-03,47,1277
2023-11-03,48,1545
2023-11-03,49,363
2023-11-03,99,24943
2023-11-04,11,2728
2023-11-04,26,1050
2023-11-04,27,760
2023-11-04,28,1075
2023-11-04,29,586
2023-11-04,30,499
2023-11-04,31,384
2023-11-04,41,4327
2023-11-04,42,0
2023-11-04,43,578
2023-11-04,44,1085
2023-11-04,45,599
2023-11-04,46,796
2023-11-04,47,859
2023-11-04,48,1113
2023-11-04,49,231
2023-11-04,99,16982
2023-11-05,11,276
2023-11-05,26,108
2023-11-05,27,125
2023-11-05,28,308
2023-11-05,29,39
2023-11-05,30,85
2023-11-05,31,13
2023-11-05,41,1009
2023-11-05,43,58
2023-11-05,44,336
2023-11-05,45,60
2023-11-05,46,132
2023-11-05,47,82
2023-11-05,48,206
2023-11-05,49,17
2023-11-05,99,2885
2023-11-06,11,5007
2023-11-06,26,1814
2023-11-06,27,1355
2023-11-06,28,1812
2023-11-06,29,1042
2023-11-06,30,833
2023-11-06,31,695
2023-11-06,41,6881
2023-11-06,42,0
2023-11-06,43,1101
2023-11-06,44,1835
2023-11-06,45,1321
2023-11-06,46,1481
2023-11-06,47,1601
2023-11-06,48,2083
2023-11-06,49,444
2023-11-06,99,30107
2023-11-07,11,3942
2023-11-07,26,1505
2023-11-07,27,1021
2023-11-07,28,1457
2023-11-07,29,760
2023-11-07,30,628
2023-11-07,31,531
2023-11-07,41,5743
2023-11-07,42,0
2023-11-07,43,827
2023-11-07,44,1399
2023-11-07,45,962
2023-11-07,46,1090
2023-11-07,47,1264
2023-11-07,48,1483
2023-11-07,49,309
2023-11-07,99,23544
2023-11-08,11,3425
2023-11-08,26,1328
2023-11-08,27,976
2023-11-08,28,1283
2023-11-08,29,601
2023-11-08,30,568
2023-11-08,31,441
2023-11-08,41,4854
2023-11-08,42,0
2023-11-08,43,678
2023-11-08,44,1121
2023-11-08,45,849
2023-11-08,46,1036
2023-11-08,47,1023
2023-11-08,48,1292
2023-11-08,49,237
2023-11-08,99,20181
2023-11-09,11,3424
2023-11-09,26,1354
2023-11-09,27,914
2023-11-09,28,1324
2023-11-09,29,722
2023-11-09,30,591
2023-11-09,31,504
2023-11-09,41,5033
2023-11-09,42,0
2023-11-09,43,790
2023-11-09,44,1176
2023-11-09,45,805
2023-11-09,46,1083
2023-11-09,47,1113
2023-11-09,48,1368
2023-11-09,49,300
2023-11-09,99,21021
2023-11-10,11,4039
2023-11-10,26,1447
2023-11-10,27,1071
2023-11-10,28,1515
2023-11-10,29,843
2023-11-10,30,620
2023-11-10,31,567
2023-11-10,41,5794
2023-11-10,42,0
2023-11-10,43,865
2023-11-10,44,1400
2023-11-10,45,1020
2023-11-10,46,1178
2023-11-10,47,1167
2023-11-10,48,1639
2023-11-10,49,331
2023-11-10,99,24084
2023-11-11,11,2813
2023-11-11,26,1019
2023-11-11,27,840
2023-11-11,28,1068
2023-11-11,29,535
2023-11-11,30,494
2023-11-11,31,404
2023-11-11,41,4295
2023-11-11,42,0
2023-11-11,43,527
2023-11-11,44,1059
2023-11-11,45,556
2023-11-11,46,806
2023-11-11,47,817
2023-11-11,48,1219
2023-11-11,49,220
2023-11-11,99,17017
2023-11-12,11,277
2023-11-12,26,71
2023-11-12,27,92
2023-11-12,28,350
2023-11-12,29,61
2023-11-12,30,141
2023-11-12,31,17
2023-11-12,41,1064
2023-11-12,43,85
2023-11-12,44,295
2023-11-12,45,87
2023-11-12,46,170
2023-11-12,47,106
2023-11-12,48,174
2023-11-12,49,36
2023-11-12,99,3077
2023-11-13,11,5137
2023-11-13,26,1941
2023-11-13,27,1357
2023-11-13,28,2058
2023-11-13,29,988
2023-11-13,30,910
2023-11-13,31,716
2023-11-13,41,7416
2023-11-13,42,1
2023-11-13,43,1120
2023-11-13,44,1881
2023-11-13,45,1348
2023-11-13,46,1469
2023-11-13,47,1651
2023-11-13,48,2066
2023-11-13,49,457
2023-11-13,99,31278
2023-11-14,11,3825
2023-11-14,26,1535
2023-11-14,27,980
2023-11-14,28,1455
2023-11-14,29,756
2023-11-14,30,646
2023-11-14,31,587
2023-11-14,41,5901
2023-11-14,42,0
2023-11-14,43,818
2023-11-14,44,1494
2023-11-14,45,1013
2023-11-14,46,1131
2023-11-14,47,1250
2023-11-14,48,1494
2023-11-14,49,360
2023-11-14,99,23908
2023-11-15,11,3623
2023-11-15,26,1336
2023-11-15,27,892
2023-11-15,28,1329
2023-11-15,29,660
2023-11-15,30,634
2023-11-15,31,466
2023-11-15,41,5158
2023-11-15,42,0
2023-11-15,43,744
2023-11-15,44,1257
2023-11-15,45,946
2023-11-15,46,1033
2023-11-15,47,1054
2023-11-15,48,1358
2023-11-15,49,249
2023-11-15,99,21267
2023-11-16,11,3368
2023-11-16,26,1399
2023-11-16,27,933
2023-11-16,28,1388
2023-11-16,29,614
2023-11-16,30,601
2023-11-16,31,473
2023-11-16,41,5027
2023-11-16,42,0
2023-11-16,43,801
2023-11-16,44,1266
2023-11-16,45,905
2023-11-16,46,1033
2023-11-16,47,1130
2023-11-16,48,1368
2023-11-16,49,316
2023-11-16,99,21166
2023-11-17,11,4395
2023-11-17,26,1505
2023-11-17,27,1121
2023-11-17,28,1650
2023-11-17,29,765
2023-11-17,30,680
2023-11-17,31,611
2023-11-17,41,6240
2023-11-17,42,0
2023-11-17,43,981
2023-11-17,44,1574
2023-11-17,45,1040
2023-11-17,46,1247
2023-11-17,47,1255
2023-11-17,48,1773
2023-11-17,49,334
2023-11-17,99,25766
2023-11-18,11,2752
2023-11-18,26,959
2023-11-18,27,781
2023-11-18,28,1145
2023-11-18,29,568
2023-11-18,30,459
2023-11-18,31,372
2023-11-18,41,4479
2023-11-18,42,0
2023-11-18,43,552
2023-11-18,44,1064
2023-11-18,45,569
2023-11-18,46,795
2023-11-18,47,817
2023-11-18,48,1134
2023-11-18,49,218
2023-11-18,99,16984
2023-11-19,11,304
2023-11-19,26,122
2023-11-19,27,131
2023-11-19,28,416
2023-11-19,29,54
2023-11-19,30,134
2023-11-19,31,16
2023-11-19,41,998
2023-11-19,43,103
2023-11-19,44,300
2023-11-19,45,84
2023-11-19,46,133
2023-11-19,47,123
2023-11-19,48,191
2023-11-19,49,35
2023-11-19,99,3200
2023-11-20,11,5380
2023-11-20,26,2002
2023-11-20,27,1376
2023-11-20,28,2051
2023-11-20,29,1025
2023-11-20,30,843
2023-11-20,31,733
2023-11-20,41,7587
2023-11-20,42,0
2023-11-20,43,1137
2023-11-20,44,1955
2023-11-20,45,1415
2023-11-20,46,1612
2023-11-20,47,1639
2023-11-20,48,2190
2023-11-20,49,489
2023-11-20,99,32304
2023-11-21,11,4091
2023-11-21,26,1577
2023-11-21,27,1051
2023-11-21,28,1540
2023-11-21,29,798
2023-11-21,30,663
2023-11-21,31,604
2023-11-21,41,5987
2023-11-21,42,0
2023-11-21,43,856
2023-11-21,44,1538
2023-11-21,45,1036
2023-11-21,46,1272
2023-11-21,47,1265
2023-11-21,48,1575
2023-11-21,49,392
2023-11-21,99,24890
2023-11-22,11,3779
2023-11-22,26,1369
2023-11-22,27,964
2023-11-22,28,1404
2023-11-22,29,648
2023-11-22,30,617
2023-11-22,31,488
2023-11-22,41,5227
2023-11-22,42,0
2023-11-22,43,758
2023-11-22,44,1328
2023-11-22,45,860
2023-11-22,46,1050
2023-11-22,47,1124
2023-11-22,48,1436
2023-11-22,49,256
2023-11-22,99,21916
2023-11-23,11,3969
2023-11-23,26,1547
2023-11-23,27,1069
2023-11-23,28,1635
2023-11-23,29,744
2023-11-23,30,635
2023-11-23,31,499
2023-11-23,41,5548
2023-11-23,42,0
2023-11-23,43,830
2023-11-23,44,1432
2023-11-23,45,946
2023-11-23,46,1119
2023-11-23,47,1223
2023-11-23,48,1630
2023-11-23,49,327
2023-11-23,99,23755
2023-11-24,11,4358
2023-11-24,26,1636
2023-11-24,27,1077
2023-11-24,28,1638
2023-11-24,29,848
2023-11-24,30,677
2023-11-24,31,632
2023-11-24,41,6442
2023-11-24,42,0
2023-11-24,43,926
2023-11-24,44,1599
2023-11-24,45,1091
2023-11-24,46,1287
2023-11-24,47,1314
2023-11-24,48,1660
2023-11-24,49,387
2023-11-24,99,26225
2023-11-25,11,2861
2023-11-25,26,1043
2023-11-25,27,814
2023-11-25,28,1174
2023-11-25,29,602
2023-11-25,30,496
2023-11-25,31,416
2023-11-25,41,4574
2023-11-25,42,0
2023-11-25,43,604
2023-11-25,44,1178
2023-11-25,45,596
2023-11-25,46,837
2023-11-25,47,756
2023-11-25,48,1145
2023-11-25,49,254
2023-11-25,99,17689
2023-11-26,11,303
2023-11-26,26,79
2023-11-26,27,97
2023-11-26,28,369
2023-11-26,29,72
2023-11-26,30,132
2023-11-26,31,16
2023-11-26,41,1200
2023-11-26,43,96
2023-11-26,44,369
2023-11-26,45,98
2023-11-26,46,184
2023-11-26,47,95
2023-11-26,48,185
2023-11-26,49,26
2023-11-26,99,3377
2023-11-27,11,5532
2023-11-27,26,2059
2023-11-27,27,1477
2023-11-27,28,2192
2023-11-27,29,1080
2023-11-27,30,966
2023-11-27,31,799
2023-11-27,41,8143
2023-11-27,42,0
2023-11-27,43,1200
2023-11-27,44,2077
2023-11-27,45,1480
2023-11-27,46,1684
2023-11-27,47,1759
2023-11-27,48,2296
2023-11-27,49,503
2023-11-27,99,34139
2023-11-28,11,4278
2023-11-28,26,1540
2023-11-28,27,1153
2023-11-28,28,1644
2023-11-28,29,764
2023-11-28,30,672
2023-11-28,31,575
2023-11-28,41,6182
2023-11-28,42,0
2023-11-28,43,950
2023-11-28,44,1519
2023-11-28,45,1079
2023-11-28,46,1191
2023-11-28,47,1302
2023-11-28,48,1650
2023-11-28,49,399
2023-11-28,99,25625
2023-11-29,11,3922
2023-11-29,26,1390
2023-11-29,27,1023
2023-11-29,28,1418
2023-11-29,29,632
2023-11-29,30,678
2023-11-29,31,471
2023-11-29,41,5423
2023-11-29,42,0
2023-11-29,43,838
2023-11-29,44,1364
2023-11-29,45,905
2023-11-29,46,1047
2023-11-29,47,1070
2023-11-29,48,1440
2023-11-29,49,239
2023-11-29,99,22460
2023-11-30,11,3788
2023-11-30,26,1475
2023-11-30,27,1097
2023-11-30,28,1612
2023-11-30,29,735
2023-11-30,30,580
2023-11-30,31,533
2023-11-30,41,5466
2023-11-30,42,0
2023-11-30,43,857
2023-11-30,44,1548
2023-11-30,45,918
2023-11-30,46,1137
2023-11-30,47,1098
2023-11-30,48,1546
2023-11-30,49,356
2023-11-30,99,23365
2023-12-01,11,4633
2023-12-01,26,1821
2023-12-01,27,1303
2023-12-01,28,1762
2023-12-01,29,886
2023-12-01,30,742
2023-12-01,31,603
2023-12-01,41,6806
2023-12-01,42,0
2023-12-01,43,1060
2023-12-01,44,1669
2023-12-01,45,1343
2023-12-01,46,1479
2023-12-01,47,1514
2023-12-01,48,2008
2023-12-01,49,425
2023-12-01,99,28737
2023-12-02,11,3061
2023-12-02,26,1050
2023-12-02,27,904
2023-12-02,28,1226
2023-12-02,29,585
2023-12-02,30,534
2023-12-02,31,389
2023-12-02,41,4677
2023-12-02,42,0
2023-12-02,43,666
2023-12-02,44,1262
2023-12-02,45,629
2023-12-02,46,845
2023-12-02,47,898
2023-12-02,48,1247
2023-12-02,49,234
2023-12-02,99,18551
2023-12-03,11,352
2023-12-03,26,121
2023-12-03,27,108
2023-12-03,28,433
2023-12-03,29,38
2023-12-03,30,153
2023-12-03,31,14
2023-12-03,41,1086
2023-12-03,42,0
2023-12-03,43,102
2023-12-03,44,335
2023-12-03,45,74
2023-12-03,46,126
2023-12-03,47,91
2023-12-03,48,221
2023-12-03,49,34
2023-12-03,99,3343
2023-12-04,11,5620
2023-12-04,26,2170
2023-12-04,27,1597
2023-12-04,28,2274
2023-12-04,29,1082
2023-12-04,30,960
2023-12-04,31,778
2023-12-04,41,8319
2023-12-04,42,0
2023-12-04,43,1243
2023-12-04,44,2115
2023-12-04,45,1511
2023-12-04,46,1739
2023-12-04,47,1730
2023-12-04,48,2312
2023-12-04,49,478
2023-12-04,99,34830
2023-12-05,11,4213
2023-12-05,26,1604
2023-12-05,27,1205
2023-12-05,28,1686
2023-12-05,29,842
2023-12-05,30,697
2023-12-05,31,646
