날짜,시도지역코드,발생건수(건)
2023-10-12,45,1918
2023-10-12,46,1596
2023-10-12,47,2372
2023-10-12,48,2733
2023-10-12,49,745
2023-10-12,99,42946
2023-10-13,11,8834
2023-10-13,26,3329
2023-10-13,27,2772
2023-10-13,28,2285
2023-10-13,29,1088
2023-10-13,30,1394
2023-10-13,31,788
2023-10-13,41,12516
2023-10-13,42,0
2023-10-13,43,1444
2023-10-13,44,2099
2023-10-13,45,1970
2023-10-13,46,1700
2023-10-13,47,2400
2023-10-13,48,3042
2023-10-13,49,811
2023-10-13,99,47836
2023-10-14,11,5232
2023-10-14,26,1957
2023-10-14,27,1666
2023-10-14,28,1428
2023-10-14,29,773
2023-10-14,30,896
2023-10-14,31,440
2023-10-14,41,8120
2023-10-14,42,0
2023-10-14,43,806
2023-10-14,44,1329
2023-10-14,45,1216
2023-10-14,46,1004
2023-10-14,47,1370
2023-10-14,48,1744
2023-10-14,49,370
2023-10-14,99,29076
2023-10-15,11,317
2023-10-15,26,48
2023-10-15,27,42
2023-10-15,28,88
2023-10-15,29,61
2023-10-15,30,35
2023-10-15,31,42
2023-10-15,41,687
2023-10-15,42,0
2023-10-15,43,34
2023-10-15,44,84
2023-10-15,45,45
2023-10-15,46,47
2023-10-15,47,37
2023-10-15,48,78
2023-10-15,49,97
2023-10-15,99,1763
2023-10-16,11,9656
2023-10-16,26,3696
2023-10-16,27,2976
2023-10-16,28,2494
2023-10-16,29,1291
2023-10-16,30,1467
2023-10-16,31,905
2023-10-16,41,13840
2023-10-16,42,0
2023-10-16,43,1606
2023-10-16,44,2361
2023-10-16,45,2309
2023-10-16,46,1877
2023-10-16,47,2902
2023-10-16,48,3348
2023-10-16,49,969
2023-10-16,99,53234
2023-10-17,11,8645
2023-10-17,26,3308
2023-10-17,27,2736
2023-10-17,28,2288
2023-10-17,29,1136
2023-10-17,30,1304
2023-10-17,31,793
2023-10-17,41,11981
2023-10-17,42,0
2023-10-17,43,1376
2023-10-17,44,1926
2023-10-17,45,1901
2023-10-17,46,1586
2023-10-17,47,2451
2023-10-17,48,2744
2023-10-17,49,693
2023-10-17,99,46120
2023-10-18,11,7793
2023-10-18,26,2891
2023-10-18,27,2347
2023-10-18,28,2089
2023-10-18,29,915
2023-10-18,30,1317
2023-10-18,31,661
2023-10-18,41,10773
2023-10-18,42,0
2023-10-18,43,1256
2023-10-18,44,1700
2023-10-18,45,1799
2023-10-18,46,1360
2023-10-18,47,2252
2023-10-18,48,2410
2023-10-18,49,725
2023-10-18,99,41378
2023-10-19,11,6967
2023-10-19,26,2864
2023-10-19,27,2369
2023-10-19,28,1771
2023-10-19,29,1010
2023-10-19,30,1182
2023-10-19,31,713
2023-10-19,41,9598
2023-10-19,42,0
2023-10-19,43,1096
2023-10-19,44,1733
2023-10-19,45,1727
2023-10-19,46,1544
2023-10-19,47,2151
2023-10-19,48,2463
2023-10-19,49,705
2023-10-19,99,38993
2023-10-20,11,8841
2023-10-20,26,3262
2023-10-20,27,2602
2023-10-20,28,2342
2023-10-20,29,1094
2023-10-20,30,1338
2023-10-20,31,761
2023-10-20,41,12740
2023-10-20,42,0
2023-10-20,43,1448
2023-10-20,44,1934
2023-10-20,45,2134
2023-10-20,46,1673
2023-10-20,47,2525
2023-10-20,48,2896
2023-10-20,49,773
2023-10-20,99,47757
2023-10-21,11,5379
2023-10-21,26,2053
2023-10-21,27,1667
2023-10-21,28,1520
2023-10-21,29,727
2023-10-21,30,832
2023-10-21,31,517
2023-10-21,41,8149
2023-10-21,42,0
2023-10-21,43,833
2023-10-21,44,1294
2023-10-21,45,1173
2023-10-21,46,1033
2023-10-21,47,1357
2023-10-21,48,1793
2023-10-21,49,387
2023-10-21,99,29449
2023-10-22,11,323
2023-10-22,26,48
2023-10-22,27,31
2023-10-22,28,63
2023-10-22,29,41
2023-10-22,30,51
2023-10-22,31,37
2023-10-22,41,609
2023-10-22,43,23
2023-10-22,44,71
2023-10-22,45,29
2023-10-22,46,62
2023-10-22,47,34
2023-10-22,48,68
2023-10-22,49,99
2023-10-22,99,1609
2023-10-23,11,9901
2023-10-23,26,3777
2023-10-23,27,3027
2023-10-23,28,2593
2023-10-23,29,1179
2023-10-23,30,1531
2023-10-23,31,915
2023-10-23,41,13945
2023-10-23,42,3
2023-10-23,43,1608
2023-10-23,44,2272
2023-10-23,45,2297
2023-10-23,46,1780
2023-10-23,47,2727
2023-10-23,48,3108
2023-10-23,49,879
2023-10-23,99,52953
2023-10-24,11,7624
2023-10-24,26,2933
2023-10-24,27,2389
2023-10-24,28,2077
2023-10-24,29,1044
2023-10-24,30,1251
2023-10-24,31,669
2023-10-24,41,10778
2023-10-24,42,1
2023-10-24,43,1213
2023-10-24,44,1848
2023-10-24,45,1777
2023-10-24,46,1567
2023-10-24,47,2195
2023-10-24,48,2540
2023-10-24,49,622
2023-10-24,99,41675
2023-10-25,11,7050
2023-10-25,26,2724
2023-10-25,27,2252
2023-10-25,28,1869
2023-10-25,29,862
2023-10-25,30,1144
2023-10-25,31,624
2023-10-25,41,9673
2023-10-25,42,0
2023-10-25,43,1124
2023-10-25,44,1545
2023-10-25,45,1625
2023-10-25,46,1264
2023-10-25,47,2036
2023-10-25,48,2260
2023-10-25,49,693
2023-10-25,99,37800
2023-10-26,11,6887
2023-10-26,26,2635
2023-10-26,27,2143
2023-10-26,28,1796
2023-10-26,29,848
2023-10-26,30,1201
2023-10-26,31,654
2023-10-26,41,9571
2023-10-26,42,0
2023-10-26,43,1115
2023-10-26,44,1707
2023-10-26,45,1649
2023-10-26,46,1431
2023-10-26,47,2036
2023-10-26,48,2360
2023-10-26,49,675
2023-10-26,99,37773
2023-10-27,11,7911
2023-10-27,26,3049
2023-10-27,27,2475
2023-10-27,28,2145
2023-10-27,29,1101
2023-10-27,30,1314
2023-10-27,31,726
2023-10-27,41,11469
2023-10-27,42,1
2023-10-27,43,1301
2023-10-27,44,1905
2023-10-27,45,1829
2023-10-27,46,1576
2023-10-27,47,2380
2023-10-27,48,2765
2023-10-27,49,709
2023-10-27,99,43872
2023-10-28,11,4928
2023-10-28,26,1833
2023-10-28,27,1456
2023-10-28,28,1420
2023-10-28,29,650
2023-10-28,30,823
2023-10-28,31,444
2023-10-28,41,7565
2023-10-28,42,0
2023-10-28,43,782
2023-10-28,44,1185
2023-10-28,45,1104
2023-10-28,46,806
2023-10-28,47,1343
2023-10-28,48,1595
2023-10-28,49,310
2023-10-28,99,26853
2023-10-29,11,295
2023-10-29,26,39
2023-10-29,27,37
2023-10-29,28,94
2023-10-29,29,61
2023-10-29,30,26
2023-10-29,31,22
2023-10-29,41,601
2023-10-29,43,31
2023-10-29,44,69
2023-10-29,45,30
2023-10-29,46,53
2023-10-29,47,42
2023-10-29,48,70
2023-10-29,49,113
2023-10-29,99,1608
2023-10-30,11,9458
2023-10-30,26,3403
2023-10-30,27,2823
2023-10-30,28,2438
2023-10-30,29,1154
2023-10-30,30,1394
2023-10-30,31,801
2023-10-30,41,12983
2023-10-30,42,0
2023-10-30,43,1470
2023-10-30,44,2222
2023-10-30,45,2187
2023-10-30,46,1817
2023-10-30,47,2702
2023-10-30,48,3005
2023-10-30,49,894
2023-10-30,99,50314
2023-10-31,11,7507
2023-10-31,26,2734
2023-10-31,27,2304
2023-10-31,28,1883
2023-10-31,29,993
2023-10-31,30,1106
2023-10-31,31,685
2023-10-31,41,10353
2023-10-31,42,0
2023-10-31,43,1221
2023-10-31,44,1762
2023-10-31,45,1659
2023-10-31,46,1460
2023-10-31,47,2157
2023-10-31,48,2326
2023-10-31,49,660
2023-10-31,99,39948
2023-11-01,11,6425
2023-11-01,26,2429
2023-11-01,27,1958
2023-11-01,28,1701
2023-11-01,29,803
2023-11-01,30,1158
2023-11-01,31,621
2023-11-01,41,8727
2023-11-01,42,0
2023-11-01,43,1123
2023-11-01,44,1495
2023-11-01,45,1599
2023-11-01,46,1224
2023-11-01,47,1899
2023-11-01,48,2180
2023-11-01,49,559
2023-11-01,99,34932
2023-11-02,11,6752
2023-11-02,26,2526
2023-11-02,27,2106
2023-11-02,28,1719
2023-11-02,29,820
2023-11-02,30,1085
2023-11-02,31,586
2023-11-02,41,9498
2023-11-02,42,0
2023-11-02,43,1095
2023-11-02,44,1630
2023-11-02,45,1586
2023-11-02,46,1312
2023-11-02,47,1927
2023-11-02,48,2256
2023-11-02,49,616
2023-11-02,99,36635
2023-11-03,11,7726
2023-11-03,26,2972
2023-11-03,27,2394
2023-11-03,28,2030
2023-11-03,29,984
2023-11-03,30,1324
2023-11-03,31,641
2023-11-03,41,11158
2023-11-03,42,0
2023-11-03,43,1357
2023-11-03,44,1916
2023-11-03,45,1707
2023-11-03,46,1408
2023-11-03,47,2210
2023-11-03,48,2575
2023-11-03,49,650
2023-11-03,99,42322
2023-11-04,11,4973
2023-11-04,26,1795
2023-11-04,27,1465
2023-11-04,28,1340
2023-11-04,29,637
2023-11-04,30,819
2023-11-04,31,414
2023-11-04,41,7382
2023-11-04,42,0
2023-11-04,43,799
2023-11-04,44,1243
2023-11-04,45,1057
2023-11-04,46,882
2023-11-04,47,1229
2023-11-04,48,1679
2023-11-04,49,333
2023-11-04,99,26777
2023-11-05,11,299
2023-11-05,26,49
2023-11-05,27,28
2023-11-05,28,84
2023-11-05,29,44
2023-11-05,30,39
2023-11-05,31,12
2023-11-05,41,664
2023-11-05,43,29
2023-11-05,44,72
2023-11-05,45,23
2023-11-05,46,50
2023-11-05,47,27
2023-11-05,48,74
2023-11-05,49,79
2023-11-05,99,1587
2023-11-06,11,7715
2023-11-06,26,2976
2023-11-06,27,2712
2023-11-06,28,2052
2023-11-06,29,1059
2023-11-06,30,1294
2023-11-06,31,739
2023-11-06,41,11281
2023-11-06,42,1
2023-11-06,43,1340
2023-11-06,44,1991
2023-11-06,45,1887
2023-11-06,46,1687
2023-11-06,47,2535
2023-11-06,48,2722
2023-11-06,49,776
2023-11-06,99,44116
2023-11-07,11,6875
2023-11-07,26,2651
2023-11-07,27,2248
2023-11-07,28,1820
2023-11-07,29,926
2023-11-07,30,1162
2023-11-07,31,605
2023-11-07,41,9609
2023-11-07,42,0
2023-11-07,43,1110
2023-11-07,44,1672
2023-11-07,45,1565
2023-11-07,46,1407
2023-11-07,47,2028
2023-11-07,48,2403
2023-11-07,49,562
2023-11-07,99,37742
2023-11-08,11,6362
2023-11-08,26,2374
2023-11-08,27,2094
2023-11-08,28,1728
2023-11-08,29,775
2023-11-08,30,1091
2023-11-08,31,615
2023-11-08,41,8821
2023-11-08,42,0
2023-11-08,43,1081
2023-11-08,44,1509
2023-11-08,45,1463
2023-11-08,46,1213
2023-11-08,47,1931
2023-11-08,48,2120
2023-11-08,49,563
2023-11-08,99,34764
2023-11-09,11,6577
2023-11-09,26,2417
2023-11-09,27,2129
2023-11-09,28,1572
2023-11-09,29,817
2023-11-09,30,1098
2023-11-09,31,604
2023-11-09,41,9292
2023-11-09,42,0
2023-11-09,43,1040
2023-11-09,44,1708
2023-11-09,45,1547
2023-11-09,46,1205
2023-11-09,47,1949
2023-11-09,48,2288
2023-11-09,49,597
2023-11-09,99,35859
2023-11-10,11,7452
2023-11-10,26,2746
2023-11-10,27,2331
2023-11-10,28,1986
2023-11-10,29,882
2023-11-10,30,1237
2023-11-10,31,632
2023-11-10,41,10673
2023-11-10,42,0
2023-11-10,43,1173
2023-11-10,44,1769
2023-11-10,45,1699
2023-11-10,46,1434
2023-11-10,47,2087
2023-11-10,48,2524
2023-11-10,49,734
2023-11-10,99,40495
2023-11-11,11,4916
2023-11-11,26,1724
2023-11-11,27,1497
2023-11-11,28,1433
2023-11-11,29,620
2023-11-11,30,805
2023-11-11,31,463
2023-11-11,41,7349
2023-11-11,42,0
2023-11-11,43,753
2023-11-11,44,1206
2023-11-11,45,996
2023-11-11,46,888
2023-11-11,47,1141
2023-11-11,48,1498
2023-11-11,49,307
2023-11-11,99,26186
2023-11-12,11,287
2023-11-12,26,45
2023-11-12,27,34
2023-11-12,28,91
2023-11-12,29,69
2023-11-12,30,44
